t,s
0.00449,2.1171995845915077e-05
0.0045,2.1195559565891344e-05
0.00451,2.1219097118469738e-05
0.00452,2.124260859063344e-05
0.00453,2.1266094068884778e-05
0.00454,2.1289553639248974e-05
0.00455,2.1312987387277784e-05
0.00456,2.1336395398053173e-05
0.00457,2.13597777561909e-05
0.00458,2.1383134545844076e-05
0.00459,2.1406465850706722e-05
0.0046,2.1429771754017254e-05
0.00461,2.1453052338561954e-05
0.00462,2.147630768667839e-05
0.00463,2.1499537880258825e-05
0.00464,2.1522743000753572e-05
0.00465,2.1545923129174337e-05
0.00466,2.1569078346097506e-05
0.00467,2.159220873166743e-05
0.00468,2.161531436559963e-05
0.00469,2.1638395327184056e-05
0.0047,2.166145169528819e-05
0.00471,2.168448354836025e-05
0.00472,2.170749096443228e-05
0.00473,2.1730474021123237e-05
0.00474,2.1753432795642037e-05
0.00475,2.1776367364790605e-05
0.00476,2.1799277804966845e-05
0.00477,2.1822164192167626e-05
0.00478,2.1845026601991716e-05
0.00479,2.1867865109642698e-05
0.0048,2.189067978993186e-05
0.00481,2.191347071728105e-05
0.00482,2.19362379657255e-05
0.00483,2.1958981608916647e-05
0.00484,2.198170172012491e-05
0.00485,2.2004398372242425e-05
0.00486,2.2027071637785806e-05
0.00487,2.204972158889882e-05
0.00488,2.2072348297355073e-05
0.00489,2.2094951834560675e-05
0.0049,2.2117532271556856e-05
0.00491,2.214008967902257e-05
0.00492,2.2162624127277088e-05
0.00493,2.2185135686282544e-05
0.00494,2.220762442564648e-05
0.00495,2.2230090414624337e-05
0.00496,2.2252533722121972e-05
0.00497,2.2274954416698106e-05
0.00498,2.229735256656676e-05
0.00499,2.2319728239599694e-05
0.005,2.2342081503328796e-05
0.00501,2.236441242494847e-05
0.00502,2.2386721071317976e-05
0.00503,2.240900750896378e-05
0.00504,2.243127180408186e-05
0.00505,2.2453514022540003e-05
0.00506,2.2475734229880085e-05
0.00507,2.249793249132031e-05
0.00508,2.2520108871757456e-05
0.00509,2.2542263435769084e-05
0.0051,2.2564396247615723e-05
0.00511,2.2586507371243066e-05
0.00512,2.2608596870284098e-05
0.00513,2.2630664808061268e-05
0.00514,2.2652711247588565e-05
0.00515,2.267473625157365e-05
0.00516,2.2696739882419923e-05
0.00517,2.271872220222858e-05
0.00518,2.274068327280068e-05
0.00519,2.2762623155639147e-05
0.0052,2.2784541911950793e-05
0.00521,2.2806439602648305e-05
0.00522,2.282831628835223e-05
0.00523,2.2850172029392918e-05
0.00524,2.2872006885812477e-05
0.00525,2.289382091736668e-05
0.00526,2.2915614183526893e-05
0.00527,2.293738674348195e-05
0.00528,2.295913865614005e-05
0.00529,2.2980869980130586e-05
0.0053,2.3002580773806008e-05
0.00531,2.302427109524366e-05
0.00532,2.3045941002247566e-05
0.00533,2.3067590552350244e-05
0.00534,2.3089219802814495e-05
0.00535,2.311082881063515e-05
0.00536,2.3132417632540843e-05
0.00537,2.315398632499573e-05
0.00538,2.3175534944201225e-05
0.00539,2.3197063546097703e-05
0.0054,2.321857218636619e-05
0.00541,2.324006092043006e-05
0.00542,2.3261529803456677e-05
0.00543,2.3282978890359066e-05
0.00544,2.3304408235797552e-05
0.00545,2.3325817894181365e-05
0.00546,2.3347207919670273e-05
0.00547,2.336857836617617e-05
0.00548,2.3389929287364676e-05
0.00549,2.3411260736656678e-05
0.0055,2.343257276722992e-05
0.00551,2.3453865432020542e-05
0.00552,2.3475138783724602e-05
0.00553,2.3496392874799608e-05
0.00554,2.3517627757466027e-05
0.00555,2.3538843483708776e-05
0.00556,2.356004010527873e-05
0.00557,2.3581217673694136e-05
0.00558,2.360237624024216e-05
0.00559,2.362351585598025e-05
0.0056,2.364463657173764e-05
0.00561,2.3665738438116733e-05
0.00562,2.368682150549454e-05
0.00563,2.370788582402407e-05
0.00564,2.3728931443635726e-05
0.00565,2.3749958414038686e-05
0.00566,2.3770966784722277e-05
0.00567,2.3791956604957326e-05
0.00568,2.381292792379751e-05
0.00569,2.3833880790080706e-05
0.0057,2.385481525243029e-05
0.00571,2.3875731359256486e-05
0.00572,2.389662915875765e-05
0.00573,2.3917508698921574e-05
0.00574,2.3938370027526767e-05
0.00575,2.3959213192143744e-05
0.00576,2.398003824013626e-05
0.00577,2.4000845218662618e-05
0.00578,2.4021634174676856e-05
0.00579,2.4042405154930023e-05
0.0058,2.4063158205971395e-05
0.00581,2.408389337414969e-05
0.00582,2.410461070561427e-05
0.00583,2.4125310246316356e-05
0.00584,2.4145992042010195e-05
0.00585,2.4166656138254262e-05
0.00586,2.418730258041242e-05
0.00587,2.420793141365507e-05
0.00588,2.4228542682960333e-05
0.00589,2.424913643311517e-05
0.0059,2.426971270871652e-05
0.00591,2.4290271554172445e-05
0.00592,2.431081301370322e-05
0.00593,2.4331337131342463e-05
0.00594,2.4351843950938242e-05
0.00595,2.4372333516154137e-05
0.00596,2.4392805870470354e-05
0.00597,2.4413261057184796e-05
0.00598,2.4433699119414122e-05
0.00599,2.4454120100094813e-05
0.006,2.447452404198423e-05
0.00601,2.449491098766164e-05
0.00602,2.4515280979529267e-05
0.00603,2.4535634059813342e-05
0.00604,2.455597027056506e-05
0.00605,2.457628965366168e-05
0.00606,2.4596592250807444e-05
0.00607,2.4616878103534644e-05
0.00608,2.4637147253204586e-05
0.00609,2.4657399741008562e-05
0.0061,2.467763560796884e-05
0.00611,2.4697854894939654e-05
0.00612,2.4718057642608114e-05
0.00613,2.4738243891495212e-05
0.00614,2.475841368195674e-05
0.00615,2.4778567054184257e-05
0.00616,2.4798704048205995e-05
0.00617,2.4818824703887794e-05
0.00618,2.483892906093405e-05
0.00619,2.485901715888858e-05
